millis,mA
39854,1.60
39857,2.20
39859,1.70
39862,1.40
39865,2.20
39867,2.30
39870,1.90
39873,2.10
39875,1.90
39878,2.10
39880,1.60
39883,2.00
39886,2.30
39888,1.40
39891,1.90
39895,2.20
39897,1.80
39900,1.60
39902,-1.20
39905,2.10
39908,1.50
39910,0.40
39913,2.50
39916,2.10
39918,2.00
39921,2.10
39923,2.10
39926,1.60
39929,1.60
39931,2.30
39934,1.70
39938,1.60
39940,2.20
39943,2.60
39945,1.80
39948,1.70
39951,-0.50
39953,2.00
39956,1.60
39959,-0.90
39961,1.90
39964,1.70
39966,1.60
39969,2.10
39972,2.00
39974,1.20
39977,2.00
39981,2.20
39983,1.60
39986,1.80
39988,2.30
39991,3.40
39994,1.50
39996,2.00
39999,2.10
40002,1.80
40004,1.20
40007,2.20
40009,1.70
40012,1.50
40015,2.10
40017,1.90
40020,1.40
40024,1.60
40026,2.30
40029,2.10
40031,1.80
40034,1.80
40037,2.10
40039,1.70
40042,1.80
40045,2.10
40047,2.00
40050,1.60
40052,1.50
40055,1.90
40058,1.70
40060,1.30
40064,0.50
40067,2.10
40069,1.50
40072,-0.10
40074,2.20
40077,1.80
40080,1.60
40082,2.30
40085,1.90
40088,1.40
40090,1.50
40093,2.30
40095,3.80
40098,1.30
40101,1.80
40103,3.10
40107,1.70
40110,1.60
40112,0.20
40115,1.90
40117,1.60
40120,-0.70
40123,2.00
40125,1.80
40128,0.80
40131,2.30
40133,2.40
40136,1.60
40138,1.40
40141,2.40
40144,3.60
40146,1.30
40150,1.80
40153,3.80
40155,1.80
40158,1.40
40160,2.20
40163,1.80
40166,1.60
40168,2.00
40171,2.50
40174,2.00
40176,1.00
40179,2.00
40181,1.90
40184,1.50
40187,1.80
40189,2.30
40193,1.90
40195,1.70
40198,1.70
40201,2.00
40203,1.40
40206,1.60
40209,2.00
40211,2.10
40214,1.40
40216,1.80
40219,2.10
40222,1.30
40224,1.20
40227,2.00
40230,2.30
40232,1.50
40236,2.10
40238,2.20
40241,1.70
40244,1.60
40246,2.20
40249,1.20
40252,1.50
40254,1.90
40257,4.50
40260,1.80
40262,1.50
40265,3.50
40267,2.20
40270,1.60
40273,1.50
40275,2.20
40279,1.70
40281,1.30
40284,2.00
40287,2.20
40289,1.20
40292,1.50
40295,2.00
40297,1.20
40300,1.00
40302,1.80
40305,4.20
40308,1.90
40310,1.60
40313,4.10
40316,1.70
40318,1.40
40322,1.80
40325,2.10
40327,1.80
40330,1.40
40332,1.80
40335,2.10
40338,1.80
40340,2.00
40343,2.10
40346,1.60
40348,1.30
40351,1.90
40353,1.80
40356,1.90
40359,1.70
40361,2.00
40365,2.00
40368,1.70
40370,1.90
40373,1.80
40375,1.60
40378,1.40
40381,2.10
40383,1.90
40386,1.60
40389,2.00
40391,2.10
40394,1.40
40396,1.50
40399,1.80
40402,1.70
40404,1.70
40408,2.00
40410,2.00
40413,2.00
40416,1.30
40418,1.70
40421,2.20
40424,1.70
40426,1.80
40429,2.20
40432,1.80
40434,1.10
40437,2.30
40439,1.90
40442,1.40
40445,1.60
40448,1.70
40451,1.50
40454,1.80
40456,1.50
40459,2.00
40461,2.00
40464,1.20
40467,2.10
40469,1.80
40472,1.80
40474,1.70
40477,2.20
40480,1.90
40482,1.00
40485,2.10
40488,2.30
40491,1.10
40494,1.70
40496,2.20
40499,1.40
40502,1.70
40504,1.70
40507,2.20
40510,2.10
40512,1.50
40515,2.00
40518,1.70
40520,1.60
40523,1.70
40525,2.20
40528,1.50
40531,1.30
40534,1.80
40537,1.80
40540,1.40
40542,1.80
40545,1.90
40547,1.60
40550,1.50
40553,1.70
40555,2.40
40558,1.90
40561,1.70
40563,2.10
40566,1.80
40568,1.60
40571,1.70
40574,2.10
40577,1.50
40580,1.60
40583,1.80
40585,1.90
40588,1.60
40590,2.00
40593,2.20
40596,1.60
40598,1.50
40601,2.00
40604,1.80
40606,1.60
40609,1.70
40611,2.00
40614,1.90
40617,1.90
40620,1.60
40623,2.10
40626,1.70
40628,1.30
40631,1.90
40633,2.20
40636,1.30
40639,1.90
40641,2.30
40644,1.60
40647,1.70
40649,2.10
40652,1.70
40654,2.10
40657,1.70
40660,2.30
40663,2.00
40666,1.30
40669,1.40
40671,2.30
40674,2.00
40676,1.50
40679,2.20
40682,2.00
40684,1.60
40687,2.10
40690,2.10
40692,1.80
40695,1.80
40697,2.20
40700,2.10
40704,1.30
40706,1.80
40709,2.10
40712,1.70
40714,1.60
40717,2.20
40719,2.10
40722,1.50
40725,1.80
40727,2.40
40730,2.00
40733,2.00
40735,2.00
40738,1.90
40740,1.20
40743,1.80
40747,1.70
40749,1.90
40752,1.30
40755,1.80
40757,2.40
40760,1.90
40762,1.40
40765,1.80
40768,1.80
40770,1.40
40773,1.40
40776,2.10
40778,2.10
40781,1.60
40783,1.30
40786,1.80
40790,1.80
40792,2.00
40795,1.90
40798,1.90
40800,1.80
40803,1.40
